"Scenario","Scen","Beta","Method","n","MSE_se","MSE","Bias_se","Bias","Var_se","Variance","Cor_se","Correlation","Som_se","Somers_D","Detection","Detection_Max","Detection_Quad","Time"
4,"S4 (X14, X4)",0,"Dandl Extension",50,0.00384453187306659,0.0755054369813003,0.0145767979960459,-0.00210888653069746,0.0036506848919752,0.0652197601481385,0.00587371931665233,-0.00071224174686026,NA,NA,4,4,8,43.57622
4,"S4 (X14, X4)",1,"DINA Original",50,0.00326304616354444,0.0458174406391216,0.0144946893353372,-0.00402323944279857,0.00313518159908559,0.0355777046653693,0.0383793461857642,0.151524417566843,0.0270104083250336,0.0920980749715829,10,10,8,2.98367999999999
4,"S4 (X14, X4)",1,"DINA Cross-Fit",50,0.00284140979061532,0.0484904101380729,0.0147088646060576,-0.00317575120163663,0.00235937563896748,0.0379550506416941,0.0220832355859194,0.0809405954121053,0.0151702888116692,0.0498146751616131,10,10,8,6.96107999999997
4,"S4 (X14, X4)",1,"DINA Gao (LASSO k2)",50,0.00295104462272863,0.0496972627131847,0.0143001693621022,-0.00328475806121039,0.00280689966454604,0.0397457171665415,0.0306376040157387,0.130824338765281,0.0209967485844627,0.0980089640930836,6,6,12,22.01104
4,"S4 (X14, X4)",1,"DR-learner (2-Model 2SL)",50,0.00221672182950112,0.0461066803944492,0.0145663749757787,-0.0025426100052988,0.00124551341675778,0.0357749807735426,0.022914585509613,0.174526271818383,0.0156699860775385,0.106584504593355,6,6,4,96.05296
4,"S4 (X14, X4)",1,"R-learner (LASSO)",50,0.0063115728492028,0.050837019229978,0.0145060499005043,-0.00400098616006033,0.00631641994694843,0.0405913453283015,0.0371702905495052,0.216325187100746,0.0243050943221983,0.145759167986898,10,10,8,0.102299999999992
4,"S4 (X14, X4)",1,"Dandl Extension",50,0.00482342495922561,0.0956466730710723,0.0146136913249158,-0.00335152173575485,0.00476470122277071,0.0853416850102917,0.02202034752906,0.201383492518178,0.0131872540476752,0.12394550229879,10,10,8,43.65178
4,"S4 (X14, X4)",2,"DINA Original",50,0.00674110352245625,0.124768997267141,0.014559588726925,-0.00788112664207727,0.00674696420842634,0.114548883305641,0.0374846686687544,0.289255685559465,0.0245234659639909,0.176141347250607,22,22,20,3.77136000000002
4,"S4 (X14, X4)",2,"DINA Cross-Fit",50,0.00306154060531596,0.118522272375915,0.0143800516342072,-0.00672506915843459,0.00235192001059158,0.108561660777163,0.0222251548547921,0.153140238444363,0.0135268123333837,0.0952208951352096,20,20,20,6.81801999999996
4,"S4 (X14, X4)",2,"DINA Gao (LASSO k2)",50,0.00275888091079326,0.117376086516991,0.0143099641416336,-0.00440120924006478,0.00264095851351972,0.107537812886983,0.0300663337118211,0.239604489491504,0.0189959251818129,0.150931369467927,28,28,22,23.07256
4,"S4 (X14, X4)",2,"DR-learner (2-Model 2SL)",50,0.00282491059798883,0.106735595516247,0.0143626022025164,-0.00259548429503144,0.00215892949761477,0.0968145553288204,0.022781397169702,0.313221569408498,0.0130331573386594,0.179160213982188,20,20,18,98.0562
4,"S4 (X14, X4)",2,"R-learner (LASSO)",50,0.00688648777785788,0.117790333402457,0.0145692533969095,-0.00791374366245148,0.0069961892206022,0.107541895772623,0.0303409941757399,0.39678922601523,0.0181292180511717,0.246026930933289,22,22,20,0.106959999999995
