"Treatment_Scenario","Scenario","Beta","Method1","Method2","N_Sims","Mean_Delta","SD_Delta","MC_CI_Lo","MC_CI_Hi","Pct_Sims_Sig","Pct_Sims_Method1_Wins","Pct_Sims_Method2_Wins","Pct_Sims_Tie","Overall_Winner"
"RCT",1,2,"DINA Cross-Fit","R-learner (LASSO)",50,0.0313687362719317,0.0447334831174042,0.0189692473626348,0.0437682251812286,24,0,24,76,"R-learner (LASSO)"
"RCT",1,2,"DINA Cross-Fit","WATCH (Residual LASSO)",50,0.034822596911004,0.0777028824855958,0.013284456742668,0.0563607370793401,14,4,10,86,"WATCH (Residual LASSO)"
"RCT",1,2,"DINA Cross-Fit","WATCH (Residual Risk)",50,0.0359710645004034,0.0747225010234643,0.0152590439254865,0.0566830850753202,16,4,12,84,"WATCH (Residual Risk)"
"RCT",1,2,"DINA Gao (GLM k2)","DINA Gao (LASSO k2)",50,0.221095162018537,0.101956382998021,0.192834294495701,0.249356029541373,66,0,66,34,"DINA Gao (LASSO k2)"
"RCT",1,2,"DINA Gao (GLM k2)","Dandl Extension",50,0.238719723930699,0.106287063290813,0.209258453074207,0.268180994787191,74,0,74,26,"Dandl Extension"
"RCT",1,2,"DINA Gao (GLM k2)","R-learner (LASSO)",50,0.241116120549795,0.0932856896382337,0.215258646607298,0.266973594492291,70,0,70,30,"R-learner (LASSO)"
"RCT",1,2,"DINA Gao (GLM k2)","WATCH (Residual LASSO)",50,0.244569981188867,0.113154139282664,0.213205253980077,0.275934708397658,80,0,80,20,"WATCH (Residual LASSO)"
"RCT",1,2,"DINA Gao (GLM k2)","WATCH (Residual Risk)",50,0.245718448778266,0.113173398993444,0.214348383050014,0.277088514506519,76,0,76,24,"WATCH (Residual Risk)"
"RCT",1,2,"DINA Gao (LASSO k2)","Dandl Extension",50,0.0176245619121622,0.0730191648148628,-0.00261531795392748,0.0378644417782519,12,2,10,88,"Tie"
"RCT",1,2,"DINA Gao (LASSO k2)","R-learner (LASSO)",50,0.0200209585312579,0.0379957879430536,0.00948906344132268,0.0305528536211932,28,0,28,72,"R-learner (LASSO)"
"RCT",1,2,"DINA Gao (LASSO k2)","WATCH (Residual LASSO)",50,0.0234748191703303,0.0690809774773515,0.00432654914123997,0.0426230891994206,14,6,8,86,"WATCH (Residual LASSO)"
"RCT",1,2,"DINA Gao (LASSO k2)","WATCH (Residual Risk)",50,0.0246232867597296,0.0665844365560585,0.00616702256850205,0.0430795509509572,14,4,10,86,"WATCH (Residual Risk)"
"RCT",1,2,"DINA Original","DINA Cross-Fit",50,-0.0215001408413808,0.0462932918945623,-0.0343319866852414,-0.00866829499752027,26,26,0,74,"DINA Original"
